title,org,year,chapter_or_funder,currency,amount_requested_usd,amount_inr,link,file_path,focus_area,geography,duration_months,notes,source
Digital Literacy Program for Rural Schools,Bharat Seva Foundation,2023,Asha Boston,USD,35000,2905000,https://ashanet.org/project/?pid=1234,./downloads/digital_literacy_proposal.pdf,Education Technology,Karnataka,24,found_in_budget_hint,asha
Vocational Training for Youth in Slums,Urban Development Trust,2024,Asha Silicon Valley,USD,42000,3486000,https://ashanet.org/project/?pid=1235,./downloads/vocational_training_proposal.pdf,Skills Development,Maharashtra,18,found_in_budget_hint,asha
Primary Education Support for Tribal Children,Adivasi Welfare Society,2023,Asha Seattle,USD,31500,2614500,https://ashanet.org/project/?pid=1236,./downloads/tribal_education_proposal.pdf,Primary Education,Odisha,36,found_in_budget_hint,asha
Girl Child Education Initiative,Women Empowerment Collective,2024,Asha Austin,USD,38000,3154000,https://ashanet.org/project/?pid=1237,./downloads/girl_education_proposal.pdf,Gender Education,Rajasthan,30,found_in_budget_hint,asha
STEM Education for Underserved Communities,Science Education Foundation,2023,USAID,USD,85000,,https://dec.usaid.gov/documents/stem_education_evaluation.pdf,./usaid_downloads/stem_education_evaluation.pdf,STEM Education,Bangladesh,12,found_in_budget_hint,usaid
Youth Leadership Development Program,International Youth Foundation,2024,USAID,USD,75000,,https://dec.usaid.gov/documents/youth_leadership_study.pdf,./usaid_downloads/youth_leadership_study.pdf,Youth Development,Kenya,18,found_in_budget_hint,usaid
Early Childhood Education Assessment,Education Development Center,2023,USAID,USD,92000,,https://dec.usaid.gov/documents/early_childhood_assessment.pdf,./usaid_downloads/early_childhood_assessment.pdf,Early Childhood,Guatemala,24,found_in_budget_hint,usaid
Technical Vocational Training Evaluation,Skills Development International,2024,USAID,USD,68000,,https://dec.usaid.gov/documents/vocational_training_eval.pdf,./usaid_downloads/vocational_training_eval.pdf,Vocational Training,Philippines,15,found_in_budget_hint,usaid
Digital Learning Platform Assessment,Technology for Education,2023,USAID,USD,89000,,https://dec.usaid.gov/documents/digital_learning_assessment.pdf,./usaid_downloads/digital_learning_assessment.pdf,Education Technology,Jordan,21,found_in_budget_hint,usaid
Adolescent Health Education Program,Youth Health Initiative,2024,USAID,USD,71000,,https://dec.usaid.gov/documents/adolescent_health_program.pdf,./usaid_downloads/adolescent_health_program.pdf,Health Education,Tanzania,18,found_in_budget_hint,usaid